sample_id,condition,batch
9813c84d-7180-478a-9a30-a7ed1c966597,1,CPTAC-3
9835daf0-92cc-4237-838d-b122a15aa1f1,2,TCGA-LUAD
987832ae-aab4-430f-abc1-8783736fbe69,2,TCGA-LUAD
98cc11cb-ed82-4949-b96f-1898ba42d899,1,CPTAC-3
98d0455d-27b5-4167-aa6b-07c95ae08fe9,2,CPTAC-3
98d8f52a-4dee-422a-8dbc-f2264431c2b8,1,CPTAC-3
99070594-f9ba-4d77-b3ef-3cf197d1dafa,1,CPTAC-3
993c1382-21ba-493c-ae6c-8f6d3b029ab2,0,CPTAC-3
9940e2a8-6a68-4482-a1bc-2a6edb7d52cd,0,TCGA-LUAD
99488a4a-85cb-4b08-96b4-c6a6a1238da9,0,TCGA-LUSC
1018a842-45da-43f6-a7c6-9b1fe4e0e1d3,2,APOLLO-LUAD
994c115a-a579-42c1-b416-4636bf0eeb3a,0,CPTAC-3
9a1b94e1-3bc6-4616-9449-2e6ae86ccca1,2,CDDP_EAGLE-1
9a535718-1719-4f78-a2fd-8cacd335efe8,0,TCGA-LUSC
9a64a124-9787-4378-ba01-b79aa183f25f,0,TCGA-LUAD
9a67ded0-92b0-48a4-bed8-43f944ff2acd,2,TCGA-LUSC
9aa3bf8f-8422-4c86-8809-b82d7117c3a2,1,TCGA-LUSC
9ab3bfe1-463e-40b8-9380-da7cc3bf6d16,0,TCGA-LUSC
9ad544f6-b684-4a97-8d05-f812267962bb,1,TCGA-LUAD
9aedb407-0084-49c6-8379-92e6aa07339e,1,CPTAC-3
9af97277-d11e-40e8-884c-3e40cc47bc1b,1,CGCI-HTMCP-LC
9bcfcaea-1536-4864-98e4-ad0d76bf61f5,2,CPTAC-3
9bdba133-a1e0-4482-add2-af6493ebdbe5,0,TCGA-LUAD
9bf51961-c60a-43df-87eb-a64dae9e4e10,0,TCGA-LUAD
9c32afd1-685d-446a-9901-12b547462653,1,CPTAC-3
9c7f6057-8225-4447-adb3-aed12aa974ad,1,TCGA-LUAD
9d178d16-8cbe-44dd-bcb4-3692e869bca6,1,EXCEPTIONAL_RESPONDERS-ER
9d26a39d-2a0e-44d5-b71e-daa141f5bb83,2,TCGA-LUSC
9d3f54d7-901f-4861-b015-21d011a40869,0,TCGA-LUSC
9d66ab91-2548-4d8f-8261-0983607aaa23,2,CDDP_EAGLE-1
9d9a39a4-0e09-4c4f-b82b-ae5a49a5b90d,0,TCGA-LUSC
9db8b103-5f3a-439b-993c-14879744c30a,0,TCGA-LUAD
9e0be69d-4237-4fcb-a91d-8d74eea96c5f,1,CPTAC-3
9e0f5883-d7b1-498b-a461-5c734494b6ef,2,APOLLO-LUAD
9e14c314-2c69-410e-a6b8-9097ef9ce172,2,CPTAC-3
9e2dadf9-0541-45ae-bf78-a89d063f955b,1,CDDP_EAGLE-1
9e644626-f5b7-424e-92a3-15d54b64fd76,2,CDDP_EAGLE-1
9e971d9f-95ec-4e34-9020-c3303fafc372,2,CPTAC-3
9ed88957-0991-432d-956a-5317efbbc5b5,2,CPTAC-3
9ee45ef3-822a-42b7-897a-27bf414cf046,2,CPTAC-3
9ee64463-e09f-4983-b83d-a6a5481cab9a,0,TCGA-LUAD
9ef441b6-e35e-4c66-834b-b161349ad728,1,CPTAC-3
9efe1375-6e80-4987-a6e2-0cbb8867b0a9,1,CPTAC-3
9f01664c-19be-4841-afb4-297483d22ec8,1,TCGA-LUAD
9f148e41-6dcf-4832-a229-8783b5e9f747,0,CPTAC-3
10acdc61-cf73-4187-a6d2-f7d2e1565cec,0,TCGA-LUSC
9f4b5291-ac4c-4079-be8b-7ddfb7c58dd1,1,CPTAC-3
9f5a8a33-5ac2-4b29-b33b-8ed0c2750d24,0,TCGA-LUSC
9f5d177b-cf6e-4d5c-869d-845c8aa6fb73,2,TCGA-LUSC
9f6308ed-98f2-44cf-b3de-b534ccf808f9,0,TCGA-LUSC
9faf5d67-3e98-425a-87d8-9f33e7ea7181,1,CPTAC-3
9ffe0bdc-838e-4715-8fd3-31f032c8f46e,0,TCGA-LUAD
9ffe8343-d98f-4c5f-b29a-cbcbdac0c008,0,TCGA-LUAD
a00852ef-b522-4960-8cbd-23589b22b4e5,1,CPTAC-3
a0215319-1bc5-4fc8-a146-e888b27b2ca3,1,CPTAC-3
10b7ef4e-f3e3-42f0-8a12-b2dfe25b7277,2,CPTAC-3
a03c9de0-7526-4942-8a7a-5fe03ea191f6,0,TCGA-LUAD
a0fbb2d1-014e-4021-ad8a-a0a16ce47789,2,HCMI-CMDC
a0fce6cc-a525-4970-82b7-8512bb0708b3,0,TCGA-LUAD
a135a2b4-bc6a-4dd6-baa9-f08ab2d4971a,0,TCGA-LUAD
10bec46a-08c3-4fe7-a65a-d801705fca17,1,TCGA-LUSC
a211dc51-cd6f-45be-b05d-d3f6c678c9ef,2,CPTAC-3
a21e6d1b-1190-4f59-8d39-26bbb692a39b,2,CPTAC-3
a2541c72-d02f-4acb-8d35-537080c94ea8,0,TCGA-LUSC
a262af4b-61f1-4e5f-a6f1-8c5e73cfd39d,1,CPTAC-3
10cdb0af-b041-41fa-820e-8464a05cb20d,2,TCGA-LUSC
a2ff795f-2f9f-4a67-a8e8-5d1b70f397d8,2,TCGA-LUSC
a3a53248-6292-412e-be21-28d6f8dc9a74,0,TCGA-LUSC
a412b415-0692-4adf-8447-067ad69913d7,0,TCGA-LUAD
11169fd2-c061-4a88-90a3-7e610a60c331,2,APOLLO-LUAD
a420acdf-146c-4661-8240-c35ee437c770,2,CPTAC-3
a4377fa6-f7e2-4289-ac2d-3cc87b6cc289,1,TCGA-LUAD
a4b51d89-f5bf-44c1-9822-9bd033709681,0,TCGA-LUSC
a4b8b2f2-6a56-4999-bd95-c2c8e4aa3bd0,1,TCGA-LUAD
a4c14abb-5b10-41df-9da5-39f1ee194b7c,0,TCGA-LUAD
a4ce5639-a675-41db-a421-6c2f0440cd63,2,CDDP_EAGLE-1
a4ed7fd8-e220-46e6-90f7-3b208dbf4e05,0,TCGA-LUAD
a5101858-cab5-42b7-af4f-6f75dd62c36c,0,TCGA-LUSC
1120d776-47df-4f72-862e-427d3c44dd43,0,TCGA-LUAD
a51aca71-6bfd-4c02-86e2-cb8a1da7595d,0,TCGA-LUSC
a5407526-9c45-427b-abcc-65d6e1f87158,0,TCGA-LUAD
a581261d-3adf-4299-b867-8bf4a590a643,2,CPTAC-3
a5a12bc4-9c48-41d3-a3ae-76c95b0f56f0,2,APOLLO-LUAD
a5c19494-731c-4519-b8a7-b7307aea2f9c,1,TCGA-LUAD
a60f0ff5-6f4c-43a1-8dda-10b882880bfc,0,TCGA-LUAD
a6298ad5-dd68-44f6-85cf-f1d2c7673aa3,1,TCGA-LUAD
